id,module,name,file,doc,markers,status,message,duration
test_e2e.py::test_end_to_end,test_e2e,test_end_to_end,test_e2e.py,,,passed,,0.0002258999738842249
test_e2e.py::test_empty_budget_report,test_e2e,test_empty_budget_report,test_e2e.py,,,passed,,0.0001783999614417553
test_e2e.py::test_single_transaction_report,test_e2e,test_single_transaction_report,test_e2e.py,,,passed,,0.00016320007853209972
test_e2e.py::test_two_transactions_same_date_report,test_e2e,test_two_transactions_same_date_report,test_e2e.py,,,passed,,0.00017879996448755264
test_e2e.py::test_two_transactions_same_amount_description_report,test_e2e,test_two_transactions_same_amount_description_report,test_e2e.py,,,passed,,0.00024259998463094234
test_e2e.py::test_two_transactions_different_amount_description_same_date_report,test_e2e,test_two_transactions_different_amount_description_same_date_report,test_e2e.py,,,passed,,0.0001876000314950943
test_integration.py::test_budget_with_multiple_transactions,test_integration,test_budget_with_multiple_transactions,test_integration.py,,,passed,,0.0006188999395817518
test_unit.py::test_budget_with_negative_transactions,test_unit,test_budget_with_negative_transactions,test_unit.py,,,passed,,0.00048259994946420193
test_unit.py::test_transaction,test_unit,test_transaction,test_unit.py,,,passed,,0.0001734001561999321
test_unit.py::test_transaction_with_missing_amount,test_unit,test_transaction_with_missing_amount,test_unit.py,,,passed,,0.00024030008353292942
test_unit.py::test_transaction_with_missing_description,test_unit,test_transaction_with_missing_description,test_unit.py,,,passed,,0.00024770013988018036
test_unit.py::test_transaction_with_missing_date,test_unit,test_transaction_with_missing_date,test_unit.py,,,passed,,0.00021379999816417694
test_unit.py::test_budget_without_opis,test_unit,test_budget_without_opis,test_unit.py,,,passed,,0.0010881000198423862
test_unit.py::test_budget_with_empty_date,test_unit,test_budget_with_empty_date,test_unit.py,,,passed,,0.0014812999870628119
test_unit.py::test_budget_with_future_date,test_unit,test_budget_with_future_date,test_unit.py,,,passed,,0.0006075999699532986
test_unit.py::test_budget_with_past_date,test_unit,test_budget_with_past_date,test_unit.py,,,passed,,0.0006568001117557287
